onset	duration	trial_type	value	sample
259.272	0.0	Marker/0.0	1	64818
260.184	0.0	Marker/0.0	1	65046
261.084	0.0	Marker/0.0	1	65271
261.992	0.0	Marker/0.0	1	65498
262.9	0.0	Marker/0.0	1	65725
263.804	0.0	Marker/0.0	1	65951
264.704	0.0	Marker/0.0	1	66176
265.616	0.0	Marker/0.0	1	66404
266.524	0.0	Marker/0.0	1	66631
267.432	0.0	Marker/0.0	1	66858
268.344	0.0	Marker/1.0	2	67086
269.252	0.0	Marker/1.0	2	67313
270.16	0.0	Marker/1.0	2	67540
271.072	0.0	Marker/1.0	2	67768
271.98	0.0	Marker/0.0	1	67995
272.884	0.0	Marker/0.0	1	68221
273.788	0.0	Marker/0.0	1	68447
274.7	0.0	Marker/0.0	1	68675
275.604	0.0	Marker/0.0	1	68901
276.512	0.0	Marker/0.0	1	69128
277.42	0.0	Marker/0.0	1	69355
278.324	0.0	Marker/0.0	1	69581
279.232	0.0	Marker/0.0	1	69808
280.132	0.0	Marker/1.0	2	70033
281.056	0.0	Marker/1.0	2	70264
